mmsi,vessel_name,vessel_type,timestamp,lat,lon,speed,course
367123450,GULF EXPLORER,Tanker,2026-08-23T04:00:00Z,28.7500,-89.2500,12.4,45.0
367123450,GULF EXPLORER,Tanker,2026-08-23T05:00:00Z,28.7800,-89.2100,11.8,44.5
367123450,GULF EXPLORER,Tanker,2026-08-23T06:00:00Z,28.8150,-89.1650,10.2,46.0
367123450,GULF EXPLORER,Tanker,2026-08-23T07:00:00Z,28.8450,-89.1200,11.5,45.2
367123450,GULF EXPLORER,Tanker,2026-08-23T08:00:00Z,28.8800,-89.0750,12.0,43.8
367123450,GULF EXPLORER,Tanker,2026-08-23T09:00:00Z,28.9100,-89.0300,12.1,45.0
367123450,GULF EXPLORER,Tanker,2026-08-23T10:00:00Z,28.9400,-88.9850,11.9,45.5
538009876,PACIFIC TRADER,Cargo,2026-08-23T05:00:00Z,28.4000,-89.5000,14.2,120.0
538009876,PACIFIC TRADER,Cargo,2026-08-23T06:00:00Z,28.3500,-89.3500,14.0,121.0
538009876,PACIFIC TRADER,Cargo,2026-08-23T07:00:00Z,28.3000,-89.2000,14.1,119.5
368999111,DELTA SUPPLIER,Tug,2026-08-23T08:00:00Z,28.8170,-89.1625,6.5,210.0
368999111,DELTA SUPPLIER,Tug,2026-08-23T09:00:00Z,28.8160,-89.1610,0.8,180.0
368999111,DELTA SUPPLIER,Tug,2026-08-23T10:00:00Z,28.8168,-89.1620,1.2,195.0
368999111,DELTA SUPPLIER,Tug,2026-08-23T11:00:00Z,28.8180,-89.1590,5.8,35.0
